MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError
SSD;16777216;double;8;2;Clock;0,067126914;0,075325552;222,729413254084;0,008198638;0,108842720462241;0,068293745;0,066514114;252,235427807097;0,001779631;0,026755689777361
;;;;;;;;;;;;;;;
flash;16777216;double;8;1;Clock;4,0184709;3,634966126;4,61550821065341;0,383504773999999;0,105504359794961;0,086747754;0,079307909;211,545307543035;0,007439845;0,093809622442574
flash;16777216;double;8;2;Clock;3,251461351;3,634966126;4,61550821065341;0,383504775;0,105504360070067;0,071868065;0,079307909;211,545307543035;0,007439844;0,093809609833491
;;;;;;;;;;;;;;;
SSD;20971520;double;8;1;Clock;0,082990338;0,098129336;213,713053148551;0,015138998;0,154275964936724;0,130487641;0,105057394;199,619647904078;0,025430247;0,242060515988051
SSD;20971520;double;8;2;Clock;0,113268334;0,098129336;213,713053148551;0,015138998;0,154275964936724;0,079627147;0,105057394;199,619647904078;0,025430247;0,242060515988051
;;;;;;;;;;;;;;;
flash;20971520;double;8;1;Clock;3,269868091;3,521099027;5,95595859110724;0,251230936;0,071350147801452;0,087189562;0,082874601;253,051233392967;0,004314961;0,052066145090702
flash;20971520;double;8;2;Clock;3,772329962;3,521099027;5,95595859110724;0,251230935;0,07135014751745;0,07855964;0,082874601;253,051233392967;0,004314961;0,052066145090702
;;;;;;;;;;;;;;;
SSD;25165824;double;8;1;Clock;0,125824668;0,118877245;211,695888477227;0,006947423;0,0584419919893;0,085030981;0,089712688;280,515772752233;0,004681707;0,052185561533949
SSD;25165824;double;8;2;Clock;0,111929821;0,118877245;211,695888477227;0,006947424;0,058442000401338;0,094394396;0,089712688;280,515772752233;0,004681708;0,052185572680645
;;;;;;;;;;;;;;;
flash;25165824;double;8;1;Clock;4,165191738;3,649470049;6,89574750912006;0,515721689;0,141314131113725;0,092521908;0,102482512;245,562130639421;0,009960604;0,097193206973693
flash;25165824;double;8;2;Clock;3,133748361;3,649470049;6,89574750912006;0,515721688;0,141314130839713;0,112443117;0,102482512;245,562130639421;0,009960605;0,097193216731456
;;;;;;;;;;;;;;;
SSD;29360128;double;8;1;Clock;0,135583247;0,140835822;208,470597771638;0,005252575;0,037295731479453;0,139998424;0,123808584;237,141295469464;0,01618984;0,130765084915275
SSD;29360128;double;8;2;Clock;0,146088398;0,140835822;208,470597771638;0,005252576;0,037295738579919;0,107618743;0,123808584;237,141295469464;0,016189841;0,13076509299226
;;;;;;;;;;;;;;;
flash;29360128;double;8;1;Clock;3,627365099;6,88107037;4,26679664954509;3,253705271;0,472848713360855;0,107569468;0,109779102;267,447332553331;0,002209634;0,020128002140152
flash;29360128;double;8;2;Clock;10,13477564;6,88107037;4,26679664954509;3,25370527;0,472848713215529;0,111988736;0,109779102;267,447332553331;0,002209634;0,020128002140152
;;;;;;;;;;;;;;;
SSD;33554432;double;8;1;Clock;0,145512814;0,163641391;205,048562560801;0,018128577;0,110782344791972;0,112364654;0,119610285;280,531327218224;0,007245631;0,060576989679441
SSD;33554432;double;8;2;Clock;0,181769968;0,163641391;205,048562560801;0,018128577;0,110782344791973;0,126855915;0,119610285;280,531327218224;0,00724563;0,060576981318956
;;;;;;;;;;;;;;;
flash;33554432;double;8;1;Clock;1,474065647;2,214767627;15,1503171668853;0,74070198;0,334437785242199;0,104426575;0,111010499;302,263590401481;0,006583924;0,059309020852163
flash;33554432;double;8;2;Clock;2,955469606;2,214767627;15,1503171668853;0,740701979;0,334437784790684;0,117594423;0,111010499;302,263590401481;0,006583924;0,059309020852163
;;;;;;;;;;;;;;;
SSD;37748736;double;8;1;Clock;0,157194224;0,168619137;223,86982089702;0,011424913;0,067755731664076;0,166189692;0,155922529;242,099305610929;0,010267163;0,06584784806819
SSD;37748736;double;8;2;Clock;0,180044049;0,168619137;223,86982089702;0,011424912;0,067755725733551;0,145655366;0,155922529;242,099305610929;0,010267163;0,06584784806819
;;;;;;;;;;;;;;;
flash;37748736;double;8;1;Clock;3,445017964;3,225693148;11,7025192006887;0,219324816;0,067993081157142;0,147927936;0,137698278;274,140944594819;0,010229658;0,074290384372127
flash;37748736;double;8;2;Clock;3,006368331;3,225693148;11,7025192006887;0,219324817;0,067993081467153;0,127468621;0,137698278;274,140944594819;0,010229657;0,074290377109872
;;;;;;;;;;;;;;;
SSD;41943040;double;8;1;Clock;0,247755045;0,250960843;167,129817937374;0,003205798;0,012774096395588;0,173744239;0,167279206;250,736723367757;0,006465033;0,038648156902419
SSD;41943040;double;8;2;Clock;0,254166641;0,250960843;167,129817937374;0,003205798;0,012774096395588;0,160814174;0,167279206;250,736723367757;0,006465032;0,038648150924389
;;;;;;;;;;;;;;;
flash;41943040;double;8;1;Clock;4,565883664;4,327469784;9,69227795768244;0,23841388;0,05509313568901;0,146039948;0,172280174;243,458309950395;0,026240226;0,152311350695525
